2025-05-30 13:37:11,839 | INFO | access | GET /api/v1/users/me status=200 duration=14.98ms client=127.0.0.1
2025-05-30 13:38:27,144 | INFO | access | POST /api/v1/auth/login status=200 duration=296.37ms client=127.0.0.1
2025-05-30 13:38:35,184 | INFO | access | GET /api/v1/users/me status=200 duration=15.91ms client=127.0.0.1
2025-05-30 13:38:46,519 | INFO | access | GET /api/v1/users/me status=200 duration=5.06ms client=127.0.0.1
2025-05-30 13:38:49,558 | INFO | access | GET /api/v1/users/me status=200 duration=4.65ms client=127.0.0.1
2025-05-30 13:38:52,174 | INFO | access | GET /api/v1/users/me status=200 duration=5.63ms client=127.0.0.1
2025-05-30 13:38:54,220 | INFO | access | GET /api/v1/users/me status=200 duration=4.48ms client=127.0.0.1
2025-05-30 13:38:55,854 | INFO | access | GET /api/v1/users/me status=200 duration=4.92ms client=127.0.0.1
2025-05-30 13:41:59,069 | INFO | access | POST /api/v1/auth/refresh status=200 duration=3.78ms client=127.0.0.1
2025-05-30 13:42:01,115 | INFO | access | POST /api/v1/auth/refresh status=200 duration=3.07ms client=127.0.0.1
2025-05-30 13:42:02,080 | INFO | access | POST /api/v1/auth/refresh status=200 duration=3.07ms client=127.0.0.1
2025-05-30 13:42:03,361 | INFO | access | POST /api/v1/auth/refresh status=200 duration=3.22ms client=127.0.0.1
2025-05-30 13:42:04,293 | INFO | access | POST /api/v1/auth/refresh status=200 duration=3.82ms client=127.0.0.1
2025-05-30 13:42:05,298 | INFO | access | POST /api/v1/auth/refresh status=200 duration=3.24ms client=127.0.0.1
2025-05-30 13:42:06,177 | INFO | access | POST /api/v1/auth/refresh status=200 duration=2.94ms client=127.0.0.1
2025-05-30 13:42:07,099 | INFO | access | POST /api/v1/auth/refresh status=200 duration=3.01ms client=127.0.0.1
2025-05-30 13:42:08,525 | INFO | access | POST /api/v1/auth/refresh status=200 duration=3.11ms client=127.0.0.1
2025-05-30 13:42:11,337 | INFO | access | POST /api/v1/auth/refresh status=200 duration=3.09ms client=127.0.0.1
2025-05-30 13:43:04,963 | INFO | access | POST /api/v1/auth/login status=200 duration=314.08ms client=127.0.0.1
2025-05-30 13:43:19,284 | INFO | access | GET /api/v1/users/me status=200 duration=4.89ms client=127.0.0.1
2025-05-30 13:43:23,657 | INFO | access | GET /api/v1/users/me status=200 duration=5.23ms client=127.0.0.1
2025-05-30 13:43:25,229 | INFO | access | GET /api/v1/users/me status=200 duration=4.75ms client=127.0.0.1
2025-05-30 13:43:26,285 | INFO | access | GET /api/v1/users/me status=200 duration=6.58ms client=127.0.0.1
2025-05-30 13:43:27,945 | INFO | access | GET /api/v1/users/me status=200 duration=4.62ms client=127.0.0.1
2025-05-30 13:43:28,796 | INFO | access | GET /api/v1/users/me status=200 duration=6.37ms client=127.0.0.1
2025-05-30 13:43:29,499 | INFO | access | GET /api/v1/users/me status=200 duration=4.41ms client=127.0.0.1
2025-05-30 13:43:30,218 | INFO | access | GET /api/v1/users/me status=200 duration=6.71ms client=127.0.0.1
2025-05-30 13:43:30,985 | INFO | access | GET /api/v1/users/me status=200 duration=5.57ms client=127.0.0.1
2025-05-30 13:43:31,813 | INFO | access | GET /api/v1/users/me status=200 duration=4.53ms client=127.0.0.1
2025-05-30 13:43:32,598 | INFO | access | GET /api/v1/users/me status=200 duration=5.94ms client=127.0.0.1
2025-05-30 13:43:33,533 | INFO | access | GET /api/v1/users/me status=200 duration=4.86ms client=127.0.0.1
2025-05-30 13:43:34,326 | INFO | access | GET /api/v1/users/me status=200 duration=5.67ms client=127.0.0.1
2025-05-30 13:48:48,176 | INFO | access | POST /api/v1/auth/login status=200 duration=298.54ms client=127.0.0.1
2025-05-30 13:49:17,240 | INFO | access | POST /api/v1/auth/login status=200 duration=270.81ms client=127.0.0.1
2025-05-30 13:49:28,840 | INFO | access | GET /api/v1/users/me status=200 duration=13.57ms client=127.0.0.1
2025-05-30 13:49:47,727 | INFO | access | GET /api/v1/users/me status=200 duration=4.60ms client=127.0.0.1
2025-05-30 13:52:38,773 | INFO | access | POST /api/v1/auth/login status=200 duration=295.31ms client=127.0.0.1
2025-05-30 13:52:47,902 | INFO | access | GET /api/v1/users/me status=200 duration=14.18ms client=127.0.0.1
2025-05-30 13:52:50,335 | INFO | access | GET /api/v1/users/me status=200 duration=4.86ms client=127.0.0.1
2025-05-30 13:52:51,301 | INFO | access | GET /api/v1/users/me status=200 duration=4.51ms client=127.0.0.1
2025-05-30 13:52:52,099 | INFO | access | GET /api/v1/users/me status=200 duration=4.85ms client=127.0.0.1
2025-05-30 13:52:53,465 | INFO | access | GET /api/v1/users/me status=200 duration=4.61ms client=127.0.0.1
2025-05-30 13:52:54,515 | INFO | access | GET /api/v1/users/me status=200 duration=6.08ms client=127.0.0.1
2025-05-30 13:52:55,487 | INFO | access | GET /api/v1/users/me status=200 duration=5.02ms client=127.0.0.1
2025-05-30 13:52:56,601 | INFO | access | GET /api/v1/users/me status=200 duration=4.65ms client=127.0.0.1
2025-05-30 13:52:57,706 | INFO | access | GET /api/v1/users/me status=200 duration=5.71ms client=127.0.0.1
2025-05-30 13:52:58,515 | INFO | access | GET /api/v1/users/me status=200 duration=5.05ms client=127.0.0.1
2025-05-30 13:52:59,407 | INFO | access | GET /api/v1/users/me status=200 duration=6.73ms client=127.0.0.1
2025-05-30 13:53:00,173 | INFO | access | GET /api/v1/users/me status=200 duration=5.29ms client=127.0.0.1
2025-05-30 13:53:00,922 | INFO | access | GET /api/v1/users/me status=200 duration=6.52ms client=127.0.0.1
2025-05-30 13:53:01,720 | INFO | access | GET /api/v1/users/me status=200 duration=4.88ms client=127.0.0.1
2025-05-30 13:53:02,551 | INFO | access | GET /api/v1/users/me status=200 duration=4.60ms client=127.0.0.1
2025-05-30 13:53:03,313 | INFO | access | GET /api/v1/users/me status=200 duration=6.65ms client=127.0.0.1
2025-05-30 13:53:04,122 | INFO | access | GET /api/v1/users/me status=200 duration=5.51ms client=127.0.0.1
2025-05-30 13:53:05,050 | INFO | access | GET /api/v1/users/me status=200 duration=5.06ms client=127.0.0.1
2025-05-30 13:53:06,920 | INFO | access | GET /api/v1/users/me status=200 duration=4.82ms client=127.0.0.1
2025-05-30 13:56:39,585 | INFO | access | POST /api/v1/auth/refresh status=200 duration=16.24ms client=127.0.0.1
2025-05-30 14:27:19,243 | INFO | access | POST /api/v1/auth/login status=200 duration=299.40ms client=127.0.0.1
2025-05-30 14:27:51,488 | INFO | access | POST /api/v1/auth/login status=200 duration=270.30ms client=127.0.0.1
2025-05-30 14:27:52,544 | INFO | access | POST /api/v1/auth/login status=200 duration=269.49ms client=127.0.0.1
2025-05-30 14:27:53,671 | INFO | access | POST /api/v1/auth/login status=200 duration=267.71ms client=127.0.0.1
2025-05-30 14:45:17,500 | INFO | access | POST /api/v1/auth/login status=200 duration=303.44ms client=127.0.0.1
2025-05-30 14:45:22,213 | INFO | access | GET /api/v1/admins status=307 duration=0.32ms client=127.0.0.1
2025-05-30 14:45:22,228 | INFO | access | GET /api/v1/admins/ status=200 duration=13.10ms client=127.0.0.1
2025-05-30 14:46:16,083 | INFO | access | POST /api/v1/auth/login status=200 duration=268.43ms client=127.0.0.1
2025-05-30 14:48:57,673 | INFO | access | POST /api/v1/auth/login status=200 duration=277.57ms client=127.0.0.1
2025-05-30 14:52:29,256 | INFO | access | GET /api/v1/admins/token status=200 duration=10.69ms client=127.0.0.1
2025-05-30 14:56:06,068 | INFO | access | POST /api/v1/auth/refresh status=200 duration=15.61ms client=127.0.0.1
2025-05-30 14:56:06,913 | INFO | access | POST /api/v1/auth/refresh status=200 duration=10.21ms client=127.0.0.1
2025-05-30 14:56:07,503 | INFO | access | POST /api/v1/auth/refresh status=200 duration=8.54ms client=127.0.0.1
2025-05-30 14:56:10,836 | INFO | access | GET /api/v1/admins/token status=200 duration=7.87ms client=127.0.0.1
2025-05-30 15:32:14,397 | INFO | access | POST /api/v1/auth/login status=200 duration=294.34ms client=127.0.0.1
2025-05-30 15:32:19,899 | INFO | access | POST /api/v1/auth/login status=401 duration=268.46ms client=127.0.0.1
2025-05-30 15:32:37,998 | INFO | access | POST /api/v1/auth/login status=200 duration=271.96ms client=127.0.0.1
